rank,stock,spot,sell_strike,buy_strike,otm_percent,otm_points,width,credit,lot_size,profit_per_lot,loss_per_lot,breakeven,profit_to_loss
98,NIITEC,2014.6,1940.0,1820.0,3.7029683311823645,74.59999999999991,120.0,20.5,1,20.5,99.5,1919.5,4.853658536585366
99,BHEL,430.85,415.0,410.0,3.678774515492636,15.850000000000023,5.0,1.2000000000000002,1,1.2000000000000002,3.8,413.8,3.166666666666666
100,BHEL,430.85,415.0,405.0,3.678774515492636,15.850000000000023,10.0,2.2500000000000004,1,2.2500000000000004,7.75,412.75,3.4444444444444438
101,BHEL,430.85,415.0,400.0,3.678774515492636,15.850000000000023,15.0,3.1500000000000004,1,3.1500000000000004,11.85,411.85,3.7619047619047614
102,BHEL,430.85,415.0,395.0,3.678774515492636,15.850000000000023,20.0,3.7500000000000004,1,3.7500000000000004,16.25,411.25,4.333333333333333
103,BHEL,430.85,415.0,390.0,3.678774515492636,15.850000000000023,25.0,4.3500000000000005,1,4.3500000000000005,20.65,410.65,4.747126436781608
104,INDIBA,882.4,850.0,840.0,3.671804170444241,32.39999999999998,10.0,1.7999999999999998,1,1.7999999999999998,8.2,848.2,4.555555555555555
105,DIVLAB,9239.0,8900.0,8800.0,3.66922827145795,339.0,100.0,17.64999999999999,1,17.64999999999999,82.35000000000001,8882.35,4.665722379603402
106,HINDAL,1037.4,1000.0,980.0,3.6051667630615083,37.40000000000009,20.0,3.8499999999999996,1,3.8499999999999996,16.15,996.15,4.194805194805195
107,ADAPOW,212.63,205.0,200.0,3.588392983116209,7.6299999999999955,5.0,1.0499999999999998,1,1.0499999999999998,3.95,203.95,3.7619047619047628
108,HINZIN,622.0,600.0,590.0,3.536977491961415,22.0,10.0,2.450000000000001,1,2.450000000000001,7.549999999999999,597.55,3.081632653061223
109,HINZIN,622.0,600.0,580.0,3.536977491961415,22.0,20.0,4.3500000000000005,1,4.3500000000000005,15.649999999999999,595.65,3.5977011494252866
110,HINZIN,622.0,600.0,570.0,3.536977491961415,22.0,30.0,5.700000000000001,1,5.700000000000001,24.299999999999997,594.3,4.263157894736841
111,JIOFIN,238.4,230.0,227.5,3.5234899328859086,8.400000000000006,2.5,0.5,1,0.5,2.0,229.5,4.0
112,JIOFIN,238.4,230.0,225.0,3.5234899328859086,8.400000000000006,5.0,0.95,1,0.95,4.05,229.05,4.2631578947368425
113,TCS,2342.0,2260.0,2240.0,3.5012809564474807,82.0,20.0,4.25,225,956.25,3543.75,2255.75,3.7058823529411766
114,TCS,2342.0,2260.0,2220.0,3.5012809564474807,82.0,40.0,7.899999999999999,225,1777.4999999999998,7222.5,2252.1,4.063291139240507
115,TCS,2342.0,2260.0,2200.0,3.5012809564474807,82.0,60.0,11.350000000000001,225,2553.7500000000005,10946.25,2248.65,4.286343612334801
116,TATSTE,186.5,180.0,177.5,3.485254691689008,6.5,2.5,0.45999999999999996,1,0.45999999999999996,2.04,179.54,4.434782608695652
117,ATHENE,1616.3,1560.0,1400.0,3.4832642454989764,56.299999999999955,160.0,32.25,1,32.25,127.75,1527.75,3.9612403100775193
118,INDR,83.9,81.0,80.0,3.45649582836711,2.9000000000000057,1.0,0.19000000000000006,1,0.19000000000000006,0.8099999999999999,80.81,4.263157894736841
119,INDR,83.9,81.0,78.0,3.45649582836711,2.9000000000000057,3.0,0.5,1,0.5,2.5,80.5,5.0
120,AUSMA,1077.1,1040.0,1020.0,3.444434128678852,37.09999999999991,20.0,3.75,1,3.75,16.25,1036.25,4.333333333333333
121,CADHEA,1191.0,1150.0,1120.0,3.4424853064651555,41.0,30.0,5.9,1,5.9,24.1,1144.1,4.084745762711864
122,CROGR,233.0,225.0,220.0,3.4334763948497855,8.0,5.0,1.0,1,1.0,4.0,224.0,4.0
123,CROGR,233.0,225.0,215.0,3.4334763948497855,8.0,10.0,1.8499999999999999,1,1.8499999999999999,8.15,223.15,4.405405405405406
